case_full_barcode	cmd	status	operation_id	num_of_repeats
TCGA-05-4410-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4410-10A-01D-1853_120228_SN1120_0116_AD0KRVACXX_s_4_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4410-10A-01D-1853_120228_SN1120_0116_AD0KRVACXX_s_4_rg.sorted.bam.bai,sample=TCGA-05-4410-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4410-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4410-10A-01D-1853-02	Running	EPLAks3aLBjIzcrY4-fDidIBIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	7.0
TCGA-05-4415-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4415-10A-01D-1853_120228_SN1120_0116_AD0KRVACXX_s_6_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4415-10A-01D-1853_120228_SN1120_0116_AD0KRVACXX_s_6_rg.sorted.bam.bai,sample=TCGA-05-4415-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4415-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4415-10A-01D-1853-02	Running	EPnA5dHaLBiBpJ-2k8K_7V4ggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	5.0
TCGA-05-4417-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4417-10A-01D-1853_120228_SN1120_0116_AD0KRVACXX_s_8_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4417-10A-01D-1853_120228_SN1120_0116_AD0KRVACXX_s_8_rg.sorted.bam.bai,sample=TCGA-05-4417-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4417-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4417-10A-01D-1853-02	Fail	EKW_383aLBiNxLq8xfOElq4BIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	5.0
TCGA-05-4418-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/GRCh37-lite.fa,faifile=gs://ding_lab_reference/GRCh37-lite.fa.fai,dictfile=gs://ding_lab_reference/GRCh37-lite.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4418-10A-01D-1203-02_IlluminaHiSeq-DNASeq_whole.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4418-10A-01D-1203-02_IlluminaHiSeq-DNASeq_whole.bam.bai,sample=TCGA-05-4418-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4418-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4418-10A-01D-1203-02	Running	EICpstLaLBjDwOnD6JiNwxUggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	12.0
TCGA-05-4422-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4422-10A-01D-1203_120316_SN208_0275_BD0PL2ACXX_s_6_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4422-10A-01D-1203_120316_SN208_0275_BD0PL2ACXX_s_6_rg.sorted.bam.bai,sample=TCGA-05-4422-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4422-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4422-10A-01D-1203-02	Running	EOa90s7aLBi8-cjghsO06csBIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	6.0
TCGA-05-4424-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4424-10A-01D-1853_120312_SN1120_0120_AD0PYGACXX_s_2_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4424-10A-01D-1853_120312_SN1120_0120_AD0PYGACXX_s_2_rg.sorted.bam.bai,sample=TCGA-05-4424-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4424-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4424-10A-01D-1853-02	Running	EP_h-NHaLBih_9Hgs-2k1V0ggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	8.0
TCGA-05-4425-10A-01D-1751-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4425-10A-01D-1751_120305_SN1120_0118_AD0L4HACXX_s_4_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4425-10A-01D-1751_120305_SN1120_0118_AD0L4HACXX_s_4_rg.sorted.bam.bai,sample=TCGA-05-4425-10A-01D-1751-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4425-10A-01D-1751-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4425-10A-01D-1751-02	Running	ELmyhcvaLBi4yeKmn6HcnJ0BIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	4.0
TCGA-05-4426-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4426-10A-01D-1203_111013_SN208_0253_B00PJACXX_s_7_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4426-10A-01D-1203_111013_SN208_0253_B00PJACXX_s_7_rg.sorted.bam.bai,sample=TCGA-05-4426-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4426-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4426-10A-01D-1203-02	Running	ENiW39DaLBjDwtCgqrLQ-KsBIILG5uvoHioPcHJvZHVjdGlvblF1ZXVl	11.0
TCGA-05-4427-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4427-10A-01D-1853_120228_SN1120_0117_BC0DKWACXX_s_2_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4427-10A-01D-1853_120228_SN1120_0117_BC0DKWACXX_s_2_rg.sorted.bam.bai,sample=TCGA-05-4427-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4427-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4427-10A-01D-1853-02	Running	EJOc39DaLBjItoaUgI6QvEUggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	5.0
TCGA-05-4430-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4430-10A-01D-1203_111013_SN208_0253_B00PJACXX_s_5_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4430-10A-01D-1203_111013_SN208_0253_B00PJACXX_s_5_rg.sorted.bam.bai,sample=TCGA-05-4430-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4430-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4430-10A-01D-1203-02	Fail	EI2h39DaLBjYpJ3wtp-TgSgggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	9.0
TCGA-05-4432-10A-01D-1203-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4432-10A-01D-1203_111013_SN208_0253_B00PJACXX_s_3_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4432-10A-01D-1203_111013_SN208_0253_B00PJACXX_s_3_rg.sorted.bam.bai,sample=TCGA-05-4432-10A-01D-1203-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4432-10A-01D-1203-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4432-10A-01D-1203-02	Running	EPH-i9LaLBjLgMnPqciMhFUggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	9.0
TCGA-05-4433-10A-01D-1853-02	gcloud alpha genomics pipelines run --pipeline-file ~/germline_variant_snakemake/google_api/germline_snakemake.yaml --project washu-medicine-pancan --preemptible --inputs fafile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta,faifile=gs://ding_lab_reference/Homo_sapiens_assembly19.fasta.fai,dictfile=gs://ding_lab_reference/Homo_sapiens_assembly19.dict,bamfile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4433-10A-01D-1853_120312_SN1120_0120_AD0PYGACXX_s_4_rg.sorted.bam,baifile=gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LUAD/DNA/WGS/HMS-RK/ILLUMINA/TCGA-05-4433-10A-01D-1853_120312_SN1120_0120_AD0PYGACXX_s_4_rg.sorted.bam.bai,sample=TCGA-05-4433-10A-01D-1853-02,passvalue=LowPass --logging gs://wliang/germline_snakemake/logging/LowPass/TCGA-05-4433-10A-01D-1853-02 --outputs outputPath=gs://wliang/germline_snakemake/output/LowPass/TCGA-05-4433-10A-01D-1853-02	Running	EK6m39DaLBiz-cyHqOLN6UMggsbm6-geKg9wcm9kdWN0aW9uUXVldWU	8.0
