sample	reference	bampath	filename
TCGA-44-7660-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-7660-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-7660-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-7669-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-7669-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-7669-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-7670-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-7670-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-7670-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-8117-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-8117-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-8117-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-8120-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-8120-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-8120-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-49-4487-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-49-4487-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-49-4487-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-49-4507-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-49-4507-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-49-4507-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-49-6743-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-49-6743-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-49-6743-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-50-5049-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-50-5049-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-50-5049-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-50-5931-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-50-5931-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-50-5931-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-50-5939-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-50-5939-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-50-5939-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-50-6590-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-50-6590-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-50-6590-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-50-6592-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-50-6592-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-50-6592-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-53-7624-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-53-7624-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-53-7624-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-53-7626-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-53-7626-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-53-7626-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-5899-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-5899-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-5899-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-6712-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-6712-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-6712-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-6969-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-6969-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-6969-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-6979-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-6979-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-6979-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-6987-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-6987-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-6987-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-7570-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-7570-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-7570-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-7574-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-7574-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-7574-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-8085-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-8085-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-8085-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-8091-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-8091-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-8091-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-8208-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-8208-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-8208-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-8301-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-8301-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-8301-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-8507-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-8507-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-8507-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-8510-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-8510-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-8510-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-8614-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-8614-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-55-8614-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-55-8619-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-8619-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-55-8619-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-55-A48X-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-A48X-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-55-A48X-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-55-A48Y-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-A48Y-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-55-A48Y-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-55-A492-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-A492-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-55-A492-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-55-A493-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-A493-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-55-A493-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-55-A4DF-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-55-A4DF-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-55-A4DF-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-62-8395-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-62-8395-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-62-8395-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-62-8397-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-62-8397-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-62-8397-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-62-8399-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-62-8399-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-62-8399-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-62-A46O-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-62-A46O-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-62-A46O-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-62-A46P-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-62-A46P-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-62-A46P-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-62-A470-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-62-A470-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-62-A470-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-64-5779-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-64-5779-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-64-5779-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-64-5781-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-64-5781-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-64-5781-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-69-7763-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-69-7763-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-69-7763-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-69-8255-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-69-8255-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-69-8255-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-73-4670-11A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-73-4670-11A-01D-A46I-10_wgs_Illumina.bam	TCGA-73-4670-11A-01D-A46I-10_wgs_Illumina.bam
TCGA-73-7499-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-73-7499-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-73-7499-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-75-5125-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-75-5125-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-75-5125-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-75-6214-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-75-6214-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-75-6214-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-75-7031-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-75-7031-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-75-7031-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-78-7149-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-78-7149-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-78-7149-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-78-7150-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-78-7150-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-78-7150-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-78-7152-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-78-7152-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-78-7152-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-78-7155-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-78-7155-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-78-7155-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-78-7159-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-78-7159-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-78-7159-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-78-7162-11A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-78-7162-11A-01D-A46I-10_wgs_Illumina.bam	TCGA-78-7162-11A-01D-A46I-10_wgs_Illumina.bam
TCGA-78-7536-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-78-7536-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-78-7536-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-78-8640-11A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bamTCGA-78-8640-11A-01D-A46I-10_wgs_Illumina.bam	TCGA-78-8640-11A-01D-A46I-10_wgs_Illumina.bam
TCGA-86-6851-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-86-6851-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-86-6851-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-86-7701-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-86-7701-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-86-7701-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-86-7711-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-86-7711-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-86-7711-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-86-7954-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-86-7954-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-86-7954-10A-01D-A46I-10_wgs_Illumina.bam
TCGA-86-7955-10A-01D-A46I-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-86-7955-10A-01D-A46I-10_wgs_Illumina.bam	TCGA-86-7955-10A-01D-A46I-10_wgs_Illumina.bam
